X Proposed
0.0000 1.0000
0.0700 1.0000
0.1478 1.0085
0.1719 1.0140
0.1958 1.0204
0.2194 1.0275
0.2425 1.0353
0.2654 1.0439
0.2880 1.0532
0.3103 1.0633
0.3325 1.0741
0.3545 1.0857
0.3764 1.0981
0.3983 1.1113
0.4201 1.1255
0.4419 1.1406
0.4637 1.1567
0.4857 1.1739
0.5077 1.1923
0.5298 1.2121
0.5522 1.2333
0.5850 1.2664
0.6187 1.3039
0.6548 1.3484
0.6938 1.4021
0.7371 1.4701
0.8408 1.6866
0.8593 1.7455
0.8666 1.7731
0.8699 1.7866
0.8715 1.7933
0.8723 1.7966
0.8727 1.7983
0.8729 1.7992
0.8731 1.8000
0.8731 1.8000
0.8731 1.8000
0.8731 1.8000
0.8731 1.8000
0.8731 1.8000
