X Proposed
0.0000 1.0000
0.0613 1.0000
0.1253 1.0061
0.1501 1.0109
0.1745 1.0166
0.1984 1.0230
0.2219 1.0301
0.2450 1.0380
0.2678 1.0467
0.2903 1.0560
0.3126 1.0661
0.3347 1.0769
0.3567 1.0886
0.3786 1.1010
0.4004 1.1143
0.4222 1.1284
0.4440 1.1436
0.4658 1.1597
0.4877 1.1770
0.5096 1.1954
0.5318 1.2152
0.5541 1.2364
0.5870 1.2697
0.6207 1.3074
0.6568 1.3519
0.6958 1.4059
0.7391 1.4741
0.7894 1.5674
0.8417 1.6887
0.8598 1.7465
0.8671 1.7735
0.8704 1.7868
0.8719 1.7934
0.8727 1.7967
0.8731 1.7984
0.8733 1.7992
0.8735 1.8000
0.8735 1.8000
0.8735 1.8000
0.8735 1.8000
0.8735 1.8000
0.8735 1.8000
