T Proposed
0.0000000 20.0000000
0.0375000 19.8125000
0.1037461 19.4843750
0.2047886 18.9921875
0.2177462 18.9306641
0.2291210 18.8768311
0.2490836 18.7826233
0.2641306 18.7119675
0.2754586 18.6589756
0.2839786 18.6192317
0.2967860 18.5596159
0.3032102 18.5298079
0.3064275 18.5149040
0.3080375 18.5074520
0.3088428 18.5037260
0.3092455 18.5018630
0.3094469 18.5009315
0.3096483 18.5000000
0.3096483 18.5000000
0.3096483 18.5000000
0.3138020 19.0000000
0.3158810 19.2500000
0.3169210 19.3750000
0.3174412 19.4375000
0.3177013 19.4687500
0.3178313 19.4843750
0.3178964 19.4921875
0.3179289 19.4960938
0.3179452 19.4980469
0.3179533 19.4990234
0.3179614 19.5000000
0.3179614 19.5000000
0.3179614 19.5000000
0.3307819 19.4375000
0.3428398 19.3789063
0.3541782 19.3239746
0.3648383 19.2724762
0.3748587 19.2241964
0.3842765 19.1789342
0.3931265 19.1365008
0.4014418 19.0967195
0.4092536 19.0594245
0.4165915 19.0244605
0.4234834 18.9916817
0.4299557 18.9609516
0.4360334 18.9321421
0.4417398 18.9051332
0.4470973 18.8798124
0.4571560 18.8323359
0.4659795 18.7907939
0.4737172 18.7544446
0.4805007 18.7226391
0.4864465 18.6948092
0.4916567 18.6704580
