T Proposed
0.0000000 20.0000000
0.0562500 19.7187500
0.1097365 19.4550781
0.2113830 18.9606934
0.2227904 18.9066200
0.2340517 18.8533916
0.2451684 18.8009948
0.2561419 18.7494168
0.2669736 18.6986447
0.2776650 18.6486658
0.2882176 18.5994679
0.2986328 18.5510387
0.3089120 18.5033663
0.3190567 18.4564387
0.6394260 16.9782193
0.6448676 16.9551222
0.6502315 16.9323859
0.6555187 16.9100048
0.6607301 16.8879735
0.6658668 16.8662864
0.6709297 16.8449382
0.6759199 16.8239235
0.6808382 16.8032372
0.6856856 16.7828742
0.6904630 16.7628293
0.6951715 16.7430975
0.6998118 16.7236741
0.7043850 16.7045542
0.7088918 16.6857331
0.7133332 16.6672060
0.7177101 16.6489684
0.7220233 16.6310158
0.7262737 16.6133437
0.7304621 16.5959477
0.7345895 16.5788235
0.7386565 16.5619669
0.7426640 16.5453736
0.7466129 16.5290397
0.7505040 16.5129609
0.7543379 16.4971334
0.7581156 16.4815532
0.7618378 16.4662164
0.7655052 16.4511193
0.7691186 16.4362581
0.7726788 16.4216290
0.7761865 16.4072286
0.7796424 16.3930531
0.7830472 16.3790992
0.7864017 16.3653632
0.7897066 16.3518419
0.7929625 16.3385319
0.7961701 16.3254299
0.7993302 16.3125325
0.8024433 16.2998367
0.8055102 16.2873392
0.8085315 16.2750371
0.8144842 16.2508172
0.8202594 16.2273541
0.8258622 16.2046243
0.8312976 16.1826048
0.8365703 16.1612734
0.8416849 16.1406086
0.8466461 16.1205896
0.8514582 16.1011962
0.8561255 16.0824088
0.8606522 16.0642085
0.8650425 16.0465770
0.8693002 16.0294965
0.8734293 16.0129497
0.8774335 15.9969200
0.8813164 15.9813913
0.8850817 15.9663478
0.8887327 15.9517744
0.8922729 15.9376565
0.8957054 15.9239797
0.8990336 15.9107303
0.9022604 15.8978950
0.9053889 15.8854608
0.9084221 15.8734151
0.9113626 15.8617459
0.9142134 15.8504414
0.9169771 15.8394901
0.9223354 15.8182719
0.9273655 15.7983799
0.9320872 15.7797312
0.9365190 15.7622480
0.9406784 15.7458575
0.9445819 15.7304914
0.9482451 15.7160857
0.9516824 15.7025803
0.9549077 15.6899191
0.9579338 15.6780491
0.9607730 15.6669211
0.9634365 15.6564885
0.9684341 15.6369274
0.9728124 15.6198115
0.9766477 15.6048351
0.9800067 15.5917307
0.9829484 15.5802643
0.9855242 15.5702313
0.9900348 15.5526735
0.9934216 15.5395051
0.9959638 15.5296288
0.9997796 15.5148144
