T,Simulink
0,0
3.1849e-06,3.1841e-06
1.9109e-05,1.9083e-05
8.1856e-05,8.1379e-05
0.0001446,0.00014312
0.00020746,0.00020441
0.00027043,0.00026527
0.00033351,0.00032569
0.00039671,0.00038567
0.00046002,0.00044523
0.00052344,0.00050435
0.00058698,0.00056304
0.00065063,0.00062131
0.0007144,0.00067916
0.00077829,0.00073658
0.00084229,0.00079359
0.00090641,0.00085018
0.00097065,0.00090636
0.001035,0.00096212
0.0010995,0.0010175
0.0011643,0.0010726
0.0012299,0.0011279
0.0012963,0.0011834
0.0013635,0.0012389
0.0014314,0.0012946
0.0015001,0.0013502
0.0015694,0.0014059
0.0016395,0.0014617
0.0017103,0.0015174
0.0017817,0.001573
0.0018538,0.0016286
0.0019265,0.0016841
0.0019999,0.0017396
0.0020739,0.0017949
0.0021485,0.0018501
0.0022238,0.0019052
0.0022996,0.0019601
0.002376,0.0020148
0.0024531,0.0020694
0.0025307,0.0021237
0.0026089,0.0021779
0.0026876,0.0022318
0.0027669,0.0022855
0.0028468,0.002339
0.0029272,0.0023923
0.0030082,0.0024453
0.0030897,0.002498
0.0031718,0.0025505
0.0032544,0.0026027
0.0033375,0.0026546
0.0034211,0.0027062
0.0035053,0.0027575
0.00359,0.0028085
0.0036752,0.0028592
0.0037609,0.0029096
0.0038471,0.0029597
0.0039338,0.0030094
0.004021,0.0030588
0.0041088,0.0031079
0.004197,0.0031567
0.0042857,0.0032051
0.0043749,0.0032531
0.0044646,0.0033008
0.0045548,0.0033482
0.0046455,0.0033952
0.0047367,0.0034419
0.0048284,0.0034882
0.0049205,0.0035341
0.0050132,0.0035796
0.0051063,0.0036248
0.0051999,0.0036697
0.0052939,0.0037141
0.0053885,0.0037582
0.0054835,0.0038019
0.005579,0.0038453
0.005675,0.0038882
0.0057715,0.0039308
0.0058684,0.003973
0.0059658,0.0040148
0.0060637,0.0040563
0.0061621,0.0040974
0.0062609,0.0041381
0.0063602,0.0041784
0.00646,0.0042183
0.0065602,0.0042579
0.006661,0.0042971
0.0067622,0.0043358
0.0068638,0.0043743
0.006966,0.0044123
0.0070686,0.00445
0.0071717,0.0044872
0.0072753,0.0045241
0.0073793,0.0045607
0.0074839,0.0045968
0.0075889,0.0046326
0.0076943,0.004668
0.0078003,0.004703
0.0079067,0.0047377
0.0080136,0.004772
0.008121,0.0048059
0.0082289,0.0048395
0.0083372,0.0048727
0.0084461,0.0049055
0.0085554,0.0049379
0.0086652,0.00497
0.0087755,0.0050018
0.0088863,0.0050331
0.0089975,0.0050641
0.0091093,0.0050948
0.0092215,0.0051251
0.0093343,0.0051551
0.0094475,0.0051847
0.0095612,0.0052139
0.0096754,0.0052428
0.0097902,0.0052714
