T,Simulink
0,11.5
0.0034882,11.537
0.020929,11.72
0.10813,12.635
0.54416,17.214
0.80952,20
0.80952,20
1.4095,19.22
2.0095,18.44
2.6095,17.66
3.2095,16.88
3.8095,16.1
4.4095,15.32
5.0095,14.54
5.6095,13.76
6.2095,12.98
6.8095,12.2
7.4095,11.42
8.0095,10.64
8.6095,9.86
9.2095,9.08
9.8095,8.3
10.41,7.52
11.01,6.74
11.61,5.96
12.21,5.18
12.348,5
12.348,5
12.948,11.3
13.548,17.6
13.777,20
13.777,20
14.377,19.22
14.977,18.44
15.577,17.66
16.177,16.88
16.777,16.1
17.377,15.32
17.977,14.54
18.577,13.76
19.177,12.98
19.777,12.2
20.377,11.42
20.977,10.64
21.577,9.86
22.177,9.08
22.777,8.3
23.377,7.52
23.977,6.74
24.577,5.96
25.177,5.18
25.315,5
25.315,5
25.915,11.3
26.515,17.6
26.744,20
26.744,20
27.344,19.22
27.944,18.44
28.544,17.66
29.144,16.88
29.744,16.1
30,15.767
