X,Simulink
0,1
2.045e-06,1
1.227e-05,1
6.3394e-05,1
0.00031902,1
0.0015971,1
0.0077439,1
0.016041,1.0002
0.025508,1.0005
0.035759,1.001
0.046586,1.0017
0.057864,1.0026
0.069507,1.0037
0.081455,1.0051
0.093662,1.0067
0.10609,1.0086
0.11872,1.0108
0.13151,1.0132
0.14446,1.0159
0.15754,1.0189
0.17074,1.0221
0.18404,1.0257
0.19743,1.0296
0.21091,1.0338
0.22446,1.0382
0.23806,1.043
0.25172,1.0481
0.26542,1.0535
0.27915,1.0592
0.29291,1.0653
0.30668,1.0717
0.32046,1.0783
0.33424,1.0854
0.34802,1.0927
0.36177,1.1004
0.37551,1.1084
0.38921,1.1167
0.40288,1.1254
0.4165,1.1344
0.43008,1.1437
0.44359,1.1534
0.45703,1.1634
0.4704,1.1738
0.4837,1.1845
0.4969,1.1955
0.51001,1.2069
0.52302,1.2186
0.53592,1.2306
0.54871,1.243
0.56138,1.2558
0.57392,1.2688
0.58632,1.2822
0.59859,1.296
0.6107,1.31
0.62267,1.3244
0.63447,1.3392
0.6461,1.3542
0.65757,1.3696
0.66885,1.3854
0.67995,1.4014
0.69086,1.4178
0.70157,1.4345
0.71208,1.4516
0.72238,1.4689
0.73247,1.4866
0.74234,1.5046
0.75198,1.5229
0.76139,1.5415
0.77057,1.5605
0.7795,1.5797
0.78819,1.5992
0.79662,1.6191
0.8048,1.6392
0.81272,1.6597
0.82038,1.6804
0.82776,1.7014
0.83487,1.7228
0.8417,1.7444
0.84824,1.7663
0.8545,1.7884
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
0.85763,1.8
