T,Simulink
0,7.854
0.001,7.8541
0.002,7.8542
0.003,7.8543
0.004,7.8544
0.005,7.8545
0.006,7.8546
0.007,7.8547
0.008,7.8548
0.009,7.8549
0.01,7.855
0.011,7.8551
0.012,7.8552
0.013,7.8553
0.014,7.8554
0.015,7.8555
0.016,7.8556
0.017,7.8557
0.018,7.8558
0.019,7.8559
0.02,7.856
0.021,7.8561
0.022,7.8562
0.023,7.8563
0.024,7.8564
0.025,7.8565
0.026,7.8566
0.027,7.8567
0.028,7.8568
0.029,7.8569
0.03,7.857
0.031,7.8571
0.032,7.8572
0.033,7.8573
0.034,7.8574
0.035,7.8575
0.036,7.8576
0.037,7.8577
0.038,7.8578
0.039,7.8579
0.04,7.858
0.041,7.8581
0.042,7.8582
0.043,7.8583
0.044,7.8584
0.045,7.8585
0.046,7.8586
0.047,7.8587
0.048,7.8588
0.049,7.8589
0.05,7.859
0.051,7.8591
0.052,7.8592
0.053,7.8593
0.054,7.8594
0.055,7.8595
0.056,7.8596
0.057,7.8597
0.058,7.8598
0.059,7.8599
0.06,7.86
0.061,7.8601
0.062,7.8602
0.063,7.8603
0.064,7.8604
0.065,7.8605
0.066,7.8606
0.067,7.8607
0.068,7.8608
0.069,7.8609
0.07,7.861
0.071,7.8611
0.072,7.8612
0.073,7.8613
0.074,7.8614
0.075,7.8615
0.076,7.8616
0.077,7.8617
0.078,7.8618
0.079,7.8619
0.08,7.862
0.081,7.8621
0.082,7.8622
0.083,7.8623
0.084,7.8624
0.085,7.8625
0.086,7.8626
0.087,7.8627
0.088,7.8628
0.089,7.8629
0.09,7.863
0.091,7.8631
0.092,7.8632
0.093,7.8633
0.094,7.8634
0.095,7.8635
0.096,7.8636
0.097,7.8637
0.098,7.8638
0.099,7.8639
0.1,7.864
0.101,7.8641
0.102,7.8642
0.103,7.8643
0.104,7.8644
0.105,7.8645
0.106,7.8646
0.107,7.8647
0.108,7.8648
0.109,7.8649
0.11,7.865
0.111,7.8651
0.112,7.8652
0.113,7.8653
0.114,7.8654
0.115,7.8655
0.116,7.8656
0.117,7.8657
0.118,7.8658
0.119,7.8659
0.12,7.866
0.121,7.8661
0.122,7.8662
0.123,7.8663
0.124,7.8664
0.125,7.8665
0.126,7.8666
0.127,7.8667
0.128,7.8668
0.129,7.8669
0.13,7.867
0.131,7.8671
0.132,7.8672
0.133,7.8673
0.134,7.8674
0.135,7.8675
0.136,7.8676
0.137,7.8677
0.138,7.8678
0.139,7.8679
0.14,7.868
0.141,7.8681
0.142,7.8682
0.143,7.8683
0.144,7.8684
0.145,7.8685
0.146,7.8686
0.147,7.8687
0.148,7.8688
0.149,7.8689
0.15,7.869
0.151,7.8691
0.152,7.8692
0.153,7.8693
0.154,7.8694
0.155,7.8695
0.156,7.8696
0.157,7.8697
0.158,7.8698
0.159,7.8699
0.16,7.87
0.161,7.8701
0.162,7.8702
0.163,7.8703
0.164,7.8704
0.165,7.8705
0.166,7.8706
0.167,7.8707
0.168,7.8708
0.169,7.8709
0.17,7.871
0.171,7.8711
0.172,7.8712
0.173,7.8713
0.174,7.8714
0.175,7.8715
0.176,7.8716
0.177,7.8717
0.178,7.8718
0.179,7.8719
0.18,7.872
0.181,7.8721
0.182,7.8722
0.183,7.8723
0.184,7.8724
